1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.456758	0.000000	219.055812	0.096023	789
1	0.503139	0.000000	219.055812	0.106164	0
2	1.036796	1.000000	209.098730	0.179309	0
3	2.705648	2.000000	200.007481	0.279379	0
4	5.231371	3.000000	191.673835	0.333216	0
5	7.816182	4.000000	184.006882	0.532799	0
6	22.960171	5.000000	176.929694	0.776369	0
7	49.517945	6.000000	170.376743	1.308708	0
8	106.149774	7.000000	164.291859	1.737867	0
9	152.468396	8.000000	158.626622	2.287787	0
10	238.530014	9.000000	153.339068	2.563902	0
11	172.339439	10.000000	148.392647	1.840244	0
12	91.814832	11.000000	143.755377	1.410073	0
13	108.005050	12.000000	139.399153	1.814763	0
14	89.817260	13.000000	135.299178	1.397889	0
15	42.572171	14.000000	131.433487	0.974603	0
16	16.669336	15.000000	127.782557	0.525559	0
17	14.220033	16.000000	124.328974	0.468850	0
18	5.878982	17.000000	121.057159	0.290831	0
19	5.810557	18.000000	117.953130	0.324110	0
20	4.816677	19.000000	115.004301	0.286544	0
21	3.173652	20.000000	112.199318	0.220775	0
22	4.333357	21.000000	109.527906	0.229849	0
23	1.982376	22.000000	106.980745	0.156190	0
24	2.863657	23.000000	104.549365	0.173510	0
25	2.136066	24.000000	102.226046	0.166259	0
26	2.063293	25.000000	100.003740	0.186765	0
27	3.144848	26.000000	97.876001	0.243818	0
28	1.562471	27.000000	95.836918	0.138205	0
29	1.735728	28.000000	93.881062	0.163632	0
30	0.871118	29.000000	92.003441	0.107616	0
31	1.466576	30.000000	90.199452	0.149163	0
32	0.920214	31.000000	88.464847	0.111263	0
33	1.033822	32.000000	86.795699	0.122894	0
34	1.787837	33.000000	85.188371	0.176662	0
35	1.031273	34.000000	83.639492	0.145159	0
36	0.540751	35.000000	82.145929	0.069845	0
37	0.980559	36.000000	80.704773	0.106064	0
38	0.583654	37.000000	79.313311	0.088565	0
39	0.581997	38.000000	77.969018	0.087084	0
40	0.864098	39.000000	76.669534	0.092143	0
41	0.735428	40.000000	75.412657	0.075410	0
42	0.359215	41.000000	74.196323	0.056787	0
43	0.511713	42.000000	73.018604	0.075301	0
44	0.516081	43.000000	71.877688	0.082845	0
45	0.586285	44.000000	70.771878	0.095324	0
46	0.426403	45.000000	69.699577	0.084527	0
47	0.388873	46.000000	68.659284	0.070538	0
48	0.432944	47.000000	67.649589	0.087333	0
49	0.276741	48.000000	66.669160	0.057339	0
