1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.482532	0.000000	185.082014	0.077031	807
1	0.529371	0.000000	185.082014	0.073277	0
2	0.153246	1.000000	176.669195	0.038634	0
3	0.256236	0.200000	183.335957	0.051467	0
4	0.160064	1.200000	175.077581	0.038249	0
5	0.207656	0.400000	181.622537	0.043955	0
6	0.085954	0.000000	185.082014	0.029100	0
7	0.118140	0.000000	185.082014	0.036148	0
8	0.112698	1.000000	176.669195	0.034170	0
9	0.114494	2.000000	168.987926	0.031388	0
10	0.141023	3.000000	161.946762	0.035436	0
11	0.161070	2.200000	167.531133	0.038146	0
12	0.106280	1.400000	173.514388	0.031708	0
13	0.048152	2.400000	166.099243	0.022639	0
14	0.130517	3.400000	159.291897	0.036013	0
15	0.060133	4.400000	153.020563	0.022170	0
16	0.046929	5.400000	147.224329	0.020749	0
17	0.063743	4.600000	151.825090	0.024161	0
18	0.029916	3.800000	156.722673	0.017854	0
19	0.032575	4.800000	150.648151	0.018428	0
20	0.049328	4.000000	155.468892	0.021397	0
21	0.036462	5.000000	149.489319	0.017885	0
22	0.030992	6.000000	143.952678	0.016790	0
23	0.023080	7.000000	138.811511	0.013745	0
24	0.031175	8.000000	134.024907	0.016417	0
25	0.032196	7.200000	137.827032	0.017396	0
26	0.015358	6.400000	141.851179	0.013922	0
27	0.024297	5.600000	146.117380	0.014830	0
28	0.017880	6.600000	140.823272	0.014593	0
29	0.016489	5.800000	145.026951	0.011640	0
30	0.015179	5.000000	149.489319	0.011903	0
31	0.027196	6.000000	143.952678	0.015919	0
32	0.024945	7.000000	138.811511	0.015528	0
33	0.018713	8.000000	134.024907	0.013539	0
34	0.005297	9.000000	129.557410	0.006753	0
35	0.034596	8.200000	133.106928	0.017564	0
36	0.013966	7.400000	136.856419	0.011147	0
37	0.012102	8.400000	132.201439	0.010834	0
38	0.033585	9.400000	127.852707	0.018745	0
39	0.019865	10.400000	123.780965	0.012958	0
40	0.014303	11.400000	119.960565	0.011142	0
41	0.010241	12.400000	116.368931	0.010303	0
42	0.016548	13.400000	112.986113	0.013486	0
43	0.010133	14.400000	109.794415	0.009979	0
44	0.026576	13.600000	112.333014	0.015826	0
45	0.004874	12.800000	114.991784	0.006632	0
46	0.020009	13.800000	111.687422	0.013633	0
47	0.006014	14.800000	108.567662	0.007244	0
48	0.009659	15.800000	105.617454	0.009710	0
49	0.023748	16.800000	102.823341	0.014589	0
