volume_id,genotype,sex,litter
20131025_CBX2_E14.5_12.1j_HOM_XY_scaled_6.8627_pixel_13.999.nrrd,mutant,male,litter_21.1
20131028_CBX2_E14.5_12.1i_HOM_XY_scaled_7.1066_pixel_14.0.nrrd,mutant,male,litter_21.1
20131030_CBX2_E14.5_12.1a_HOM_XX(2)_scaled_5.7377_pixel_14.0.nrrd,mutant,female,litter_12.1
