1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.075126	0.000000	429.505094	0.030515	821
1	0.150626	0.000000	429.505094	0.039952	0
2	0.033153	1.000000	409.982135	0.018300	0
3	0.138479	2.000000	392.156825	0.038690	0
4	0.044491	3.000000	375.816957	0.020669	0
5	0.064970	4.000000	360.784279	0.023997	0
6	0.110693	3.200000	372.711032	0.032367	0
7	0.039590	2.400000	385.453289	0.019877	0
8	0.058559	3.400000	369.656024	0.024813	0
9	0.064471	4.400000	355.102637	0.023654	0
10	0.040003	3.600000	366.650690	0.020389	0
11	0.042638	4.600000	352.328397	0.020356	0
12	0.049316	5.600000	339.082969	0.023321	0
13	0.024482	6.600000	326.797354	0.017056	0
14	0.038207	7.600000	315.370873	0.018773	0
15	0.044254	8.600000	304.716452	0.022243	0
16	0.046365	9.600000	294.758398	0.021314	0
17	0.029421	10.600000	285.430600	0.016341	0
18	0.041366	11.600000	276.675061	0.020352	0
19	0.020751	12.600000	268.440684	0.014528	0
20	0.025881	13.600000	260.682282	0.015734	0
21	0.016323	14.600000	253.359746	0.012486	0
22	0.026380	15.600000	246.437349	0.014838	0
23	0.021312	14.800000	251.944329	0.015554	0
24	0.022332	14.000000	257.703056	0.015772	0
25	0.015556	15.000000	250.544638	0.013471	0
26	0.012833	16.000000	243.773161	0.011866	0
27	0.010733	17.000000	237.358078	0.010082	0
28	0.011607	16.200000	242.462553	0.011867	0
29	0.008802	17.200000	236.115366	0.008942	0
30	0.009359	16.400000	241.165962	0.009854	0
31	0.012870	17.400000	234.885598	0.011281	0
32	0.007002	18.400000	228.924035	0.008931	0
33	0.008897	19.400000	223.257598	0.009284	0
34	0.006817	20.400000	217.864903	0.007959	0
35	0.006560	21.400000	212.726580	0.008284	0
36	0.007663	22.400000	207.825045	0.009293	0
37	0.013010	23.400000	203.144301	0.011349	0
38	0.008522	24.400000	198.669757	0.008748	0
39	0.010036	23.600000	202.233340	0.009612	0
40	0.010150	22.800000	205.927100	0.009269	0
41	0.009277	22.000000	209.758302	0.009695	0
42	0.003492	23.000000	204.991068	0.005850	0
43	0.008102	24.000000	200.435711	0.009165	0
44	0.007117	23.200000	204.063506	0.008145	0
45	0.004914	24.200000	199.548827	0.006850	0
46	0.008204	25.200000	195.229588	0.008625	0
47	0.005168	26.200000	191.093368	0.007203	0
48	0.007772	25.400000	194.388081	0.008601	0
49	0.006417	26.400000	190.287067	0.007525	0
