1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.381937	0.000000	199.859681	0.101131	810
1	0.789113	0.000000	199.859681	0.142920	0
2	1.717134	1.000000	190.775150	0.243096	0
3	4.275018	2.000000	182.480578	0.352957	0
4	5.943499	3.000000	174.877221	0.349577	0
5	6.116741	4.000000	167.882132	0.456372	0
6	11.651458	5.000000	161.425127	0.542966	0
7	19.575853	6.000000	155.446419	0.841853	0
8	32.769214	7.000000	149.894761	0.931266	0
9	24.807818	8.000000	144.725976	0.896079	0
10	28.525273	9.000000	139.901777	0.857482	0
11	13.137844	10.000000	135.388816	0.470081	0
12	6.450148	11.000000	131.157916	0.332387	0
13	7.527512	12.000000	127.183433	0.438519	0
14	3.333869	13.000000	123.442744	0.232698	0
15	2.236119	14.000000	119.915809	0.194068	0
16	0.882341	13.200000	122.720857	0.109939	0
17	1.020958	14.200000	119.234469	0.122015	0
18	0.502997	15.200000	115.940699	0.081119	0
19	0.505628	16.200000	112.824014	0.080582	0
20	0.433707	17.200000	109.870505	0.083937	0
21	0.479420	18.200000	107.067686	0.081055	0
22	0.685682	19.200000	104.404311	0.095492	0
23	0.235931	20.200000	101.870226	0.045750	0
24	0.291192	21.200000	99.456239	0.054917	0
25	0.285722	20.400000	101.378099	0.061320	0
26	0.209941	21.400000	98.987106	0.051606	0
27	0.309212	22.400000	96.706297	0.065958	0
28	0.200364	23.400000	94.528228	0.050915	0
29	0.231445	24.400000	92.446108	0.056684	0
30	0.161849	25.400000	90.453735	0.040166	0
31	0.196459	26.400000	88.545428	0.049489	0
32	0.109750	27.400000	86.715977	0.033057	0
33	0.153716	28.400000	84.960593	0.050498	0
34	0.166732	29.400000	83.274867	0.053366	0
35	0.134125	30.400000	81.654734	0.044339	0
36	0.067650	31.400000	80.096437	0.027351	0
37	0.115263	32.400000	78.596504	0.037849	0
38	0.090501	33.400000	77.151715	0.034510	0
39	0.077053	34.400000	75.759085	0.032275	0
40	0.083943	35.400000	74.415839	0.028828	0
41	0.118382	36.400000	73.119396	0.032093	0
42	0.061868	37.400000	71.867351	0.024784	0
43	0.054058	38.400000	70.657463	0.025153	0
44	0.078451	39.400000	69.487637	0.030133	0
45	0.088523	40.400000	68.355917	0.035854	0
46	0.057032	41.400000	67.260470	0.030140	0
47	0.076140	42.400000	66.199579	0.032560	0
48	0.046499	41.600000	67.045580	0.026635	0
49	0.042047	42.600000	65.991404	0.018180	0
