1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	2.024552	0.000000	80.656770	0.213260	797
1	0.529910	0.000000	80.656770	0.101719	0
2	0.575845	0.000000	80.656770	0.107629	0
3	0.284628	0.000000	80.656770	0.080735	0
4	0.157189	1.000000	76.990553	0.051966	0
5	0.105586	2.000000	73.643137	0.040179	0
6	0.109407	3.000000	70.574673	0.040634	0
7	0.076556	4.000000	67.751686	0.035132	0
8	0.046174	3.200000	69.991412	0.025664	0
9	0.049549	4.200000	67.213975	0.025852	0
10	0.041080	3.400000	69.417711	0.022624	0
11	0.030900	4.400000	66.684731	0.019671	0
12	0.024550	5.400000	64.158794	0.014846	0
13	0.034078	6.400000	61.817232	0.017712	0
14	0.024038	5.600000	63.676397	0.016464	0
15	0.031757	4.800000	65.650859	0.020368	0
16	0.025567	4.000000	67.751686	0.016051	0
17	0.022462	5.000000	65.145852	0.014954	0
18	0.015937	6.000000	62.733043	0.013552	0
19	0.020487	7.000000	60.492577	0.017885	0
20	0.020941	8.000000	58.406626	0.016495	0
21	0.021516	9.000000	56.459739	0.016221	0
22	0.017469	8.200000	58.006581	0.012761	0
23	0.014558	7.400000	59.640569	0.012323	0
24	0.019277	8.400000	57.611978	0.014335	0
25	0.018179	9.400000	55.716847	0.012520	0
26	0.009773	10.400000	53.942425	0.010250	0
27	0.016133	11.400000	52.277536	0.015309	0
28	0.010380	12.400000	50.712340	0.009409	0
29	0.010155	13.400000	49.238144	0.010314	0
30	0.014049	12.600000	50.410481	0.010940	0
31	0.016695	13.600000	48.953531	0.011776	0
32	0.008823	14.600000	47.578431	0.012074	0
33	0.012733	15.600000	46.278474	0.011828	0
34	0.008738	16.600000	45.047664	0.009246	0
35	0.009340	17.600000	43.880626	0.009943	0
36	0.009279	16.800000	44.809316	0.010198	0
37	0.009684	17.800000	43.654437	0.011394	0
38	0.009453	18.800000	42.557592	0.010515	0
39	0.007705	19.800000	41.514514	0.008328	0
40	0.006989	19.000000	42.344804	0.008274	0
41	0.006939	20.000000	41.312004	0.009591	0
42	0.011435	21.000000	40.328385	0.010272	0
43	0.007766	20.200000	41.111460	0.008571	0
44	0.008550	21.200000	40.137255	0.009360	0
45	0.005546	22.200000	39.208152	0.005890	0
46	0.009036	23.200000	38.321090	0.008838	0
47	0.006418	22.400000	39.027469	0.007760	0
48	0.009362	23.400000	38.148472	0.012680	0
49	0.013438	24.400000	37.308197	0.010958	0
