1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.008386	0.000000	1234.645553	0.008970	804
1	0.065623	0.000000	1234.645553	0.030259	0
2	0.597314	1.000000	1178.525300	0.085467	0
3	5.902005	2.000000	1127.285070	0.256913	0
4	25.347032	3.000000	1080.314859	0.515947	0
5	48.402909	4.000000	1037.102264	0.730660	0
6	223.293189	5.000000	997.213716	1.523922	0
7	1747.815200	6.000000	960.279874	4.649834	0
8	19619.010157	7.000000	925.984165	15.903022	0
9	10796.300293	8.000000	894.053676	10.150303	0
10	72592.302503	9.000000	864.251887	28.107789	0
11	157884.425816	10.000000	836.372794	40.612723	0
12	198901.826562	11.000000	810.236144	50.168844	0
13	635990.342815	12.000000	785.683534	93.865556	0
14	1212047.561953	13.000000	762.575194	108.519748	0
15	2001752.840591	14.000000	740.787332	134.035344	0
16	3557748.869881	15.000000	720.209906	183.267291	0
17	10610545.110582	16.000000	700.744773	360.880895	0
18	37083396.075971	17.000000	682.304121	634.044498	0
19	83443227.655293	18.000000	664.809144	870.783031	0
20	210277181.260040	19.000000	648.188915	1434.747585	0
21	105431635.804521	20.000000	632.379429	1043.063930	0
22	58325029.994967	21.000000	617.322776	755.868832	0
23	319413416.679944	22.000000	602.966433	1875.689457	0
24	855617810.803036	23.000000	589.262650	3293.636118	0
25	1176480501.350138	24.000000	576.167925	3392.476235	0
26	1431440082.492679	25.000000	563.642535	4731.088207	0
27	2373987991.141770	26.000000	551.650141	6208.158051	0
28	2982857173.277372	27.000000	540.157429	5587.333543	0
29	8292708001.500652	28.000000	529.133808	9968.091255	0
30	10218357607.718836	29.000000	518.551132	10517.660496	0
31	5963003214.014041	30.000000	508.383463	8644.146357	0
32	9756618562.050142	31.000000	498.606858	10265.273654	0
33	26954218652.515934	32.000000	489.199181	15689.313705	0
34	12213793665.438898	33.000000	480.139937	10646.906921	0
35	12390163458.444883	34.000000	471.410120	12198.214651	0
36	19288988722.852333	35.000000	462.992082	14595.214069	0
37	31181108287.237808	36.000000	454.869414	18912.983111	0
38	9830924282.378374	37.000000	447.026838	8912.972332	0
39	12672088961.344362	38.000000	439.450112	10908.365320	0
40	21394140583.462955	39.000000	432.125943	14685.964066	0
41	19447429562.595196	40.000000	425.041912	14466.181682	0
42	41787730851.637634	41.000000	418.186397	22179.656103	0
43	20864649409.423721	42.000000	411.548518	14877.045705	0
44	18278125025.460781	43.000000	405.118072	13130.750981	0
45	37429419165.586708	44.000000	398.885486	22175.285852	0
46	41461247908.662239	43.200000	403.856022	20905.579623	0
47	15110804531.800508	44.200000	397.661911	12222.387440	0
48	35178710749.332672	45.200000	391.654934	19819.196939	0
49	35756469154.143089	46.200000	385.826735	22126.078016	0
